month,month-year,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others,mean_temp,total_rainfall,mean_rh
2011-10-01,2011-10,557.7,335.3,7.4,62.1,134.4,131.4,221.2,134.7,86.5,1.1,27.3,216.8,87.4
2011-11-01,2011-11,541.1,326.0,7.3,60.2,130.5,128.0,213.9,132.0,82.0,1.1,27.1,377.8,87.8
2011-12-01,2011-12,505.9,304.8,6.9,56.6,122.2,119.1,200.0,122.4,77.6,1.0,26.6,284.6,88.4
2012-01-01,2012-01,503.3,303.9,7.1,56.6,121.9,118.3,198.4,120.9,77.5,1.0,26.7,106.1,87.3
2012-02-01,2012-02,505.0,301.5,6.9,55.8,121.1,117.8,202.4,121.4,81.0,1.0,27.2,83.6,85.6
2012-03-01,2012-03,508.6,303.3,6.9,56.0,121.7,118.7,204.4,124.5,79.9,1.0,27.0,313.4,87.3
2012-04-01,2012-04,540.9,323.8,7.4,59.9,130.3,126.3,216.0,132.5,83.4,1.1,27.6,260.6,85.1
2012-05-01,2012-05,557.1,334.0,7.5,61.6,134.4,130.5,222.1,138.3,83.9,1.0,28.2,292.0,83.1
2012-06-01,2012-06,607.9,364.7,8.0,66.8,147.0,142.8,242.1,150.1,91.9,1.1,28.7,53.0,79.0
2012-07-01,2012-07,594.8,357.5,8.0,65.3,143.9,140.4,236.2,147.6,88.6,1.1,27.7,130.8,81.1
2012-08-01,2012-08,585.6,351.0,7.9,64.6,141.2,137.3,233.5,144.2,89.4,1.1,27.9,119.0,79.8
2012-09-01,2012-09,573.2,344.2,7.9,62.9,138.8,134.7,228.0,140.3,87.6,1.0,27.9,107.6,79.7
2012-10-01,2012-10,560.2,333.8,7.5,61.0,134.7,130.5,225.4,138.1,87.2,1.0,27.7,122.2,81.3
2012-11-01,2012-11,568.1,338.5,7.8,61.4,136.4,132.8,228.5,142.0,86.5,1.1,27.1,208.2,85.4
2012-12-01,2012-12,524.8,313.8,7.5,57.2,126.5,122.6,210.2,129.4,80.8,0.9,26.7,363.4,87.0
2013-01-01,2013-01,513.1,310.0,7.5,56.3,125.6,120.6,202.1,124.0,78.1,0.9,27.1,262.0,82.1
2013-02-01,2013-02,498.0,298.0,7.2,54.2,120.4,116.2,199.1,121.1,78.0,0.9,26.5,395.2,86.9
2013-03-01,2013-03,498.3,295.5,7.1,53.6,119.6,115.2,201.8,123.6,78.2,0.9,28.3,85.8,80.4
2013-04-01,2013-04,568.3,339.1,8.0,61.9,137.0,132.3,228.1,140.7,87.4,1.1,28.2,159.4,82.7
2013-05-01,2013-05,601.8,354.8,8.4,64.8,142.3,139.3,245.9,154.5,91.3,1.1,28.2,211.4,83.1
2013-06-01,2013-06,629.6,378.6,8.8,68.5,154.4,146.9,249.7,156.5,93.3,1.2,29.0,111.4,74.6
2013-07-01,2013-07,612.0,369.4,8.7,66.6,148.8,145.3,241.4,151.7,89.7,1.1,27.8,174.6,79.9
2013-08-01,2013-08,617.5,373.2,9.0,67.5,150.9,145.8,243.3,151.9,91.4,1.1,27.9,165.6,79.0
2013-09-01,2013-09,560.6,337.2,8.5,61.3,136.3,131.0,222.4,137.3,85.2,1.0,27.5,257.0,81.3
2013-10-01,2013-10,555.0,326.3,8.1,59.9,131.7,126.6,227.6,140.0,87.6,1.1,27.7,285.4,79.9
2013-11-01,2013-11,570.7,340.1,8.5,61.4,137.9,132.3,229.6,143.4,86.1,1.0,27.1,292.4,84.6
2013-12-01,2013-12,530.1,316.5,8.2,57.9,128.1,122.3,212.7,131.3,81.4,0.9,26.5,348.2,85.8
2014-01-01,2014-01,509.7,307.1,8.0,55.8,124.7,118.5,201.7,124.3,77.4,0.9,26.2,75.4,78.5
2014-02-01,2014-02,489.3,293.9,7.7,53.3,119.1,113.7,194.6,117.9,76.7,0.8,27.2,0.2,74.5
2014-03-01,2014-03,488.7,288.3,7.4,52.4,116.8,111.7,199.5,122.0,77.5,0.9,27.9,66.0,76.0
2014-04-01,2014-04,568.1,335.5,8.5,61.2,136.0,129.7,231.6,143.1,88.5,1.1,28.2,110.0,80.0
2014-05-01,2014-05,609.5,359.6,9.2,66.1,146.2,138.1,248.9,157.9,91.0,1.0,28.6,125.8,80.2
2014-06-01,2014-06,639.0,383.6,9.7,69.0,156.0,149.0,254.3,160.0,94.3,1.1,29.0,71.4,77.5
2014-07-01,2014-07,628.1,376.7,9.7,68.3,153.0,145.7,250.4,158.9,91.5,1.0,28.7,148.6,78.3
2014-08-01,2014-08,635.5,382.4,10.0,68.9,155.4,148.1,252.1,158.7,93.4,1.0,27.7,241.0,79.7
2014-09-01,2014-09,592.4,355.3,9.5,63.9,144.4,137.5,236.1,147.7,88.3,1.0,28.5,83.6,75.6
2014-10-01,2014-10,580.9,341.4,9.3,62.4,138.8,131.0,238.4,148.7,89.7,1.0,28.4,120.0,77.0
2014-11-01,2014-11,611.5,362.1,9.9,65.6,147.1,139.5,248.4,158.0,90.4,1.0,27.5,250.8,82.4
2014-12-01,2014-12,571.8,339.7,9.4,61.3,138.3,130.7,231.2,145.5,85.7,0.9,27.0,245.6,82.6
2015-01-01,2015-01,525.2,314.6,8.9,56.4,128.5,120.7,209.7,130.7,79.0,0.9,26.9,79.6,77.6
2015-02-01,2015-02,493.6,294.9,8.5,53.1,120.1,113.3,197.8,122.0,75.8,0.8,27.0,18.8,75.4
2015-03-01,2015-03,513.9,303.0,8.5,54.8,123.6,116.2,210.1,131.1,79.0,0.8,28.2,84.4,75.8
2015-04-01,2015-04,594.2,349.8,9.7,63.4,142.5,134.3,243.4,152.7,90.7,1.0,28.6,73.2,77.1
2015-05-01,2015-05,610.7,359.2,10.2,65.2,146.5,137.2,250.6,161.4,89.2,0.9,28.7,89.0,78.9
2015-06-01,2015-06,632.3,374.7,10.4,67.5,153.1,143.8,256.6,163.8,92.8,1.0,29.0,95.8,75.8
2015-07-01,2015-07,647.0,384.5,10.7,69.4,157.4,147.1,261.5,167.3,94.2,1.0,29.1,116.8,74.9
2015-08-01,2015-08,656.7,394.6,11.0,70.7,161.1,151.7,261.3,167.1,94.2,0.9,28.4,185.8,76.7
2015-09-01,2015-09,635.7,380.3,10.8,67.9,155.0,146.6,254.5,162.9,91.6,0.9,28.7,61.6,75.0
2015-10-01,2015-10,643.6,379.3,10.7,67.7,154.9,145.9,263.4,167.7,95.7,0.9,28.7,87.2,75.4
2015-11-01,2015-11,645.7,379.0,10.7,68.0,154.2,146.1,265.7,172.7,93.0,0.9,28.0,72.6,79.1
2015-12-01,2015-12,622.4,370.3,10.7,66.0,151.9,141.7,251.2,160.5,90.7,0.9,27.7,302.3,81.1
2016-01-01,2016-01,570.2,336.7,10.2,61.2,137.9,127.4,232.7,148.4,84.3,0.9,28.3,126.6,79.6
2016-02-01,2016-02,580.4,344.5,10.0,62.2,141.2,131.1,235.1,148.7,86.4,0.8,27.8,186.0,78.8
2016-03-01,2016-03,585.3,344.1,9.7,60.9,141.2,132.2,240.4,152.9,87.5,0.8,29.0,6.2,74.7
2016-04-01,2016-04,648.6,379.1,10.8,68.0,155.3,145.0,268.5,172.5,96.1,1.0,29.4,89.8,75.6
2016-05-01,2016-05,689.1,402.7,11.6,72.6,164.9,153.6,285.4,186.6,98.8,1.0,29.3,193.8,77.4
2016-06-01,2016-06,708.5,416.8,11.9,74.4,171.1,159.3,290.7,190.0,100.7,1.0,28.5,162.8,77.7
2016-07-01,2016-07,642.2,382.9,11.2,68.2,157.6,145.9,258.4,167.9,90.5,0.9,28.4,168.6,77.3
2016-08-01,2016-08,647.0,385.2,11.3,69.2,158.2,146.5,261.0,167.5,93.5,0.8,28.9,139.2,74.0
2016-09-01,2016-09,647.7,385.2,11.2,68.7,158.4,146.9,261.7,169.6,92.1,0.8,28.3,118.9,73.9
2016-10-01,2016-10,650.5,382.0,11.2,68.2,157.0,145.6,267.6,173.9,93.7,0.9,28.3,181.0,72.0
2016-11-01,2016-11,644.8,382.3,11.3,67.7,157.2,146.1,261.6,170.8,90.9,0.9,27.4,290.2,77.6
2016-12-01,2016-12,575.1,338.8,10.4,60.6,139.4,128.4,235.6,152.0,83.6,0.7,27.4,292.6,72.8
2017-01-01,2017-01,567.2,335.4,10.5,60.4,138.7,125.7,231.0,149.0,82.0,0.8,26.9,197.6,84.8
2017-02-01,2017-02,574.0,337.0,10.5,60.0,139.2,127.3,236.3,150.9,85.4,0.7,26.9,158.4,83.2
2017-03-01,2017-03,533.1,312.4,9.6,55.4,128.6,118.9,220.0,141.6,78.4,0.7,27.4,136.2,82.5
2017-04-01,2017-04,583.7,341.6,10.4,61.2,140.7,129.2,241.4,156.7,84.6,0.8,27.8,208.6,83.5
2017-05-01,2017-05,619.9,364.0,11.3,65.5,150.7,136.5,255.1,168.4,86.7,0.8,28.5,190.0,82.8
2017-06-01,2017-06,649.0,376.8,11.4,64.9,155.6,145.0,271.4,179.9,91.5,0.8,28.5,106.0,80.2
2017-07-01,2017-07,698.1,420.9,12.7,76.3,174.4,157.6,276.3,182.7,93.7,0.9,28.3,79.6,79.6
2017-08-01,2017-08,630.2,369.2,11.4,65.1,152.9,139.8,260.2,167.6,92.6,0.8,28.1,84.2,79.9
2017-09-01,2017-09,613.1,358.0,11.1,63.3,148.1,135.5,254.3,166.8,87.6,0.8,28.0,124.4,81.0
2017-10-01,2017-10,622.1,363.5,11.3,64.7,150.1,137.4,257.8,168.0,89.8,0.8,27.9,120.8,82.5
2017-11-01,2017-11,622.2,368.5,11.5,64.8,152.7,139.5,252.9,167.5,85.4,0.8,27.1,268.6,86.3
2017-12-01,2017-12,583.2,339.8,10.9,60.3,140.8,127.8,242.6,160.2,82.5,0.7,27.0,371.2,85.2
2018-01-01,2018-01,558.7,328.3,10.6,58.5,136.4,122.8,229.6,150.4,79.3,0.7,26.1,287.0,86.6
2018-02-01,2018-02,522.0,308.1,10.1,54.9,127.9,115.3,213.2,137.9,75.4,0.6,27.2,14.8,77.2
2018-03-01,2018-03,532.6,309.0,9.8,54.9,128.5,115.8,223.0,143.3,79.7,0.7,28.0,44.6,78.4
2018-04-01,2018-04,609.9,355.3,11.1,62.7,147.5,134.0,253.8,166.4,87.4,0.8,28.5,61.2,78.5
2018-05-01,2018-05,638.1,370.1,11.7,65.6,153.9,138.9,267.2,178.3,88.9,0.8,28.7,132.2,79.0
2018-06-01,2018-06,675.4,395.6,12.6,70.1,164.2,148.7,278.9,186.9,92.1,0.9,28.4,182.6,79.3
2018-07-01,2018-07,633.0,371.9,11.9,65.5,154.8,139.7,260.3,173.4,86.8,0.8,28.5,143.2,77.7
2018-08-01,2018-08,618.3,364.3,11.8,64.5,151.6,136.4,253.2,166.7,86.4,0.8,28.5,121.6,77.0
2018-09-01,2018-09,630.6,367.8,11.8,65.0,152.9,138.1,262.0,174.5,87.5,0.7,28.0,144.4,77.1
2018-10-01,2018-10,630.7,363.7,11.6,64.3,151.2,136.7,266.2,176.3,89.9,0.8,27.9,234.4,79.7
2018-11-01,2018-11,608.6,356.6,11.5,62.3,148.6,134.2,251.2,167.0,84.3,0.8,27.3,169.6,83.2
2018-12-01,2018-12,563.5,330.8,11.1,58.9,137.6,123.3,232.0,153.6,78.4,0.7,27.6,172.6,81.5
2019-01-01,2019-01,594.1,343.4,11.5,61.1,143.3,127.4,249.8,163.0,86.9,0.8,28.0,63.6,75.6
2019-02-01,2019-02,613.6,356.0,11.7,62.3,148.5,133.4,256.7,167.6,89.1,0.8,28.2,31.6,74.1
2019-03-01,2019-03,598.2,340.9,11.2,59.6,142.0,128.0,256.5,167.8,88.7,0.8,28.7,72.2,72.3
2019-04-01,2019-04,653.1,374.6,12.3,66.2,155.9,140.2,277.6,183.6,94.0,0.9,28.6,174.8,77.6
2019-05-01,2019-05,670.5,385.9,12.8,68.3,160.7,144.0,283.7,190.0,93.7,0.9,29.3,69.0,79.2
2019-06-01,2019-06,692.3,400.5,13.4,70.3,167.1,149.6,290.9,194.9,96.0,0.9,28.4,173.8,79.5
2019-07-01,2019-07,647.5,379.0,12.8,66.4,158.5,141.3,267.7,178.1,89.6,0.8,29.0,12.2,75.2
2019-08-01,2019-08,667.2,389.6,13.2,68.8,162.6,145.0,276.7,183.2,93.5,0.8,29.1,11.8,72.1
2019-09-01,2019-09,688.5,397.3,13.3,69.6,165.7,148.6,290.3,192.1,98.2,0.9,29.0,22.8,73.0
2019-10-01,2019-10,664.9,380.2,13.0,66.6,158.5,142.1,283.9,188.8,95.1,0.9,28.1,176.8,78.1
2019-11-01,2019-11,639.7,367.5,12.8,64.5,153.4,136.7,271.4,180.7,90.7,0.9,28.0,137.4,79.2
2019-12-01,2019-12,588.9,340.1,12.0,60.0,141.8,126.2,248.0,165.1,82.9,0.8,26.7,421.5,83.9
2020-01-01,2020-01,565.5,328.3,11.7,58.1,137.7,120.8,236.4,155.0,81.4,0.7,27.7,88.4,77.9
2020-02-01,2020-02,599.5,346.8,12.1,61.2,145.0,128.6,251.8,163.9,87.9,0.8,27.9,65.0,76.0
2020-03-01,2020-03,620.6,354.6,12.3,62.0,148.2,132.1,265.2,175.3,90.0,0.8,28.6,108.8,75.2
2020-04-01,2020-04,669.9,383.4,13.3,66.8,160.6,142.6,285.7,187.7,97.9,0.9,28.9,188.0,76.4
2020-05-01,2020-05,663.3,381.9,13.7,67.4,160.2,140.6,280.5,183.9,96.6,1.0,28.9,255.6,79.1
2020-06-01,2020-06,869.7,501.6,17.3,86.8,209.3,188.2,367.0,253.3,113.7,1.1,28.1,233.8,80.2
2020-07-01,2020-07,886.7,515.2,18.1,87.1,215.2,194.8,370.6,259.6,111.0,1.0,27.9,140.8,78.2
